Date,Day,Std dev,Average,Upper,Lower,Std dev,Average,Upper,Lower,St dev,Average,Upper,Lower,St dev,Average,Upper,Lower,St dev,Average,Upper,Lower,St dev,Average,Upper,Lower,,,,
19-May,0,2.886751346,1.666666667,4.553418013,-1.220084679,,,,,,,,,,,,,,,,,361.6973873,380,741.6973873,18.30261267,,,,
20-May,1,5,5,10,0,142.243922,183.3333333,325.5772553,41.08941138,5,10,15,5,10,20,30,10,15.27525232,26.66666667,41.94191898,11.39141435,36.17089069,528.3333333,564.504224,492.1624426,,,,
21-May,2,2.886751346,13.33333333,16.22008468,10.44658199,1498.899596,2035,3533.899596,536.1004036,28.86751346,26.66666667,55.53418013,-2.200846793,15.27525232,58.33333333,73.60858565,43.05808102,18.02775638,35,53.02775638,16.97224362,753.0659555,3996.666667,4749.732622,3243.600711,,,,
22-May,3,10.40833,43.33333333,53.74166333,32.92500334,324.8461174,1285,1609.846117,960.1538826,30,105,135,75,189.0987396,281.6666667,470.7654063,92.56792703,32.78719262,115,147.7871926,82.21280738,36.85557398,4231.666667,4268.522241,4194.811093,,,,
23-May,4,10.40833,173.3333333,183.7416633,162.9250033,270.0462923,1035,1305.046292,764.9537077,36.05551275,300,336.0555128,263.9444872,88.92881048,1161.666667,1250.595477,1072.737856,102.1436896,226.6666667,328.8103563,124.522977,374.3772607,9078.333333,9452.710594,8703.956073,,,,
24-May,5,5.773502692,361.6666667,367.4401694,355.893164,105.1586104,2368.333333,2473.491944,2263.174723,37.5277675,636.6666667,674.1944342,599.1388992,183.462076,2753.333333,2936.795409,2569.871257,31.22498999,485,516.22499,453.77501,300.0138886,22263.33333,22563.34722,21963.31944,,,,
25-May,6,103.3198916,685,788.3198916,581.6801084,615.9342497,9435,10050.93425,8819.06575,164.8484152,1485,1649.848415,1320.151585,1346.832704,12673.33333,14020.16604,11326.50063,27.53785274,626.6666667,654.2045194,599.1288139,4069.80753,87326.66667,91396.4742,83256.85914,,,,
26-May,7,194.2506971,1756.666667,1950.917364,1562.41597,256.4338771,45731.66667,45988.10054,45475.23279,252.3885893,3165,3417.388589,2912.611411,3086.697264,42225,45311.69726,39138.30274,352.0061552,1271.666667,1623.672822,919.6605114,5843.488541,217441.6667,223285.1552,211598.1781,,,,
27-May,8,414.2563619,5013.333333,5427.589695,4599.076971,1259.176318,165695,166954.1763,164435.8237,759.3473075,7998.333333,8757.680641,7238.986026,878.995639,140096.6667,140975.6623,139217.671,68.06859286,2036.666667,2104.73526,1968.598074,2966.918997,201806.6667,204773.5857,198839.7477,,,,
28-May,9,707.2540798,11788.33333,12495.58741,11081.07925,74713.61612,123356.6667,198070.2828,48643.05055,6748.607264,11345,18093.60726,4596.392736,22204.57967,54096.66667,76301.24634,31892.087,475.5084997,1208.333333,1683.841833,732.8248336,70915.7033,77630,148545.7033,6714.296697,,,,
29-May,10,2408.715079,5178.333333,7587.048413,2769.618254,153868.7873,175080,328948.7873,21211.21272,20356.92409,17873.33333,38230.25742,-2483.590755,38814.44619,43973.33333,82787.77953,5158.88714,3235.530611,4133.333333,7368.863944,897.8027225,20316.61963,14186.66667,34503.2863,-6129.952967,,,,
30-May,11,1903.630304,6398.333333,8301.963637,4494.70303,70452.5025,364103.3333,434555.8358,293650.8308,44026.59433,83113.33333,127139.9277,39086.739,14700.97814,45303.33333,60004.31148,30602.35519,8903.263915,11861.66667,20764.93058,2958.402752,7462.146697,14638.33333,22100.48003,7176.186636,,,,
31-May,12,98.27681992,2588.333333,2686.610153,2490.056513,1758.607404,96810,98568.6074,95051.3926,609.6925455,12575,13184.69255,11965.30745,4894.140204,24061.66667,28955.80687,19167.52646,1105.938515,5870,6975.938515,4764.061485,340.6733528,15918.33333,16259.00669,15577.65998,,,,
1-Jun,13,7988.041583,12733.33333,20721.37492,4745.29175,91059.68267,315768.3333,406828.016,224708.6507,816.4302379,141778.3333,142594.7636,140961.9031,2752.712299,84210,86962.7123,81457.2877,1028.425171,64158.33333,65186.7585,63129.90816,631.7436189,62695,63326.74362,62063.25638,,,,
2-Jun,14,642.7739364,23566.66667,24209.4406,22923.89273,47337.16097,205231.6667,252568.8276,157894.5057,9847.650735,143490,153337.6507,133642.3493,4598.535999,90766.66667,95365.20267,86168.13067,3124.303922,92830,95954.30392,89705.69608,1782.086792,68418.33333,70200.42013,66636.24654,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
