Day,Tank 3,Tank 4,Tank 8,Tank 7,Tank 10,Tank 11,,,,
0,0,,,,,,,,,
1,1.098612289,,,,,0.329556145,,,,
2,0.980829253,2.406945108,0.980829253,1.070441412,0.271933715,2.023488562,,,,
3,1.178654996,-0.459737101,1.370546004,1.574550653,1.189584067,0.057135246,,,,
4,1.386294361,-0.216357292,1.049822124,1.416886696,0.678548381,0.763294696,,,,
5,0.735506454,0.827785046,0.752463758,0.862956543,0.760668381,0.897050458,,,,
6,0.638695861,1.382239706,0.846923819,1.52668775,0.256265876,1.366714796,,,,
7,0.941754515,1.578364804,0.756738283,1.203512414,0.707668888,0.912274739,,,,
8,1.048682956,1.287357766,0.927080131,1.199320198,0.470986108,-0.074620472,,,,
9,0.855009312,-0.295068861,0.349543932,-0.951560091,-0.522072485,-0.955356193,,,,
10,-0.822627088,0.350163124,0.454532726,-0.20718918,1.229842184,-1.699651394,,,,
11,0.211554286,0.732194698,1.536895294,0.029797224,1.054227728,0.031341102,,,,
12,-0.905023372,-1.324687415,-1.888494422,-0.632760634,-0.703457278,0.083827826,,,,
13,1.593209059,1.182258528,2.422554089,1.2526937,2.391499353,1.370810215,,,,
14,0.615610057,-0.4308694,0.012000541,0.074978432,0.369415877,0.08735912,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
