Date of sampling,Tank,St. dev (cells/mL),Average (cells/mL),Upper (cells/mL),Lower (cell/mL),total N-filter (ug/L),mol N/cell,total C-filter (ug/L),mol C/ cell,total P-filter (ug/L),mol P / cell
5/19/2022,Euk1,129.6469565,1101.666667,1231.313623,972.0197102,41.9656524,2.72092E-12,545.1594913,4.12375E-11,9.662618123,2.8317E-13
,Euk5,935,45.82575695,980.8257569,889.1742431,37.16244679,5.79251E-11,414.3951752,7.5357E-10,18.6684825,1.31523E-11
,Euk12,960,25.98076211,985.9807621,934.0192379,72.84439214,2.0027E-10,787.7708366,2.52678E-09,15.62372802,1.94149E-11
5/23/2022,Euk1,1259.328525,34113.33333,35372.66186,32854.00481,128.1147567,2.68254E-13,763.2758836,1.86456E-12,31.43297027,2.97484E-14
,Euk2,1579.216578,78375,79954.21658,76795.78342,231.1875669,2.10697E-13,1405.793321,1.49473E-12,50.40526502,2.07635E-14
,Euk5,28261.66667,18724.91411,46986.58077,9536.752559,142.6161297,5.44027E-13,812.4310471,3.61564E-12,33.70708683,5.81171E-14
,Euk6,50295,1138.518775,51433.51877,49156.48123,202.1984915,1.26856E-11,1312.958001,9.61013E-11,47.11753894,1.33612E-12
,Euk9,41683.33333,537.734445,42221.06778,41145.59889,174.4002876,2.3166E-11,1117.477152,1.73177E-10,38.29172768,2.299E-12
,Euk12,52811.66667,1257.421303,54069.08797,51554.24536,219.8878597,1.24909E-11,1252.291699,8.29934E-11,48.01245796,1.23275E-12
5/26/2022,Euk1,1017.562447,77996.66667,79014.22911,76979.10422,225.4339094,2.0645E-13,1286.518947,1.37454E-12,56.50486058,2.3389E-14
,Euk2,5680.29562,317431.6667,323111.9623,311751.371,646.2933695,1.45429E-13,4297.864023,1.12829E-12,53.64088255,5.45567E-15
,Euk5,124691.6667,5563.610189,130255.2769,119128.0565,308.1351824,3.956E-12,1766.994855,2.64666E-11,57.66732682,3.34638E-13
,Euk6,178300,5608.805577,183908.8056,172691.1944,399.5005746,5.08767E-12,2633.764146,3.91314E-11,50.84956556,2.92698E-13
,Euk9,100601.6667,1054.32838,101655.995,99547.33829,374.0082296,2.53383E-11,2305.605321,1.82233E-10,49.94172262,1.52929E-12
,Euk12,47895,802.994396,48697.9944,47092.0056,280.1937273,2.4924E-11,1893.109614,1.96464E-10,33.70541653,1.35516E-12
5/30/2022,Euk1,982.3102022,926.6666667,1908.976869,-55.64353553,76.14710641,5.86951E-12,413.1494028,3.71537E-11,17.21724443,5.9985E-13
,Euk2,7206.494178,11983.33333,19189.82751,4776.839156,520.5667759,3.10292E-12,4554.115652,3.16698E-11,18.59764098,5.01052E-14
,Euk5,1395,927.8604421,2322.860442,467.1395579,143.5778549,1.10529E-11,873.6385043,7.84635E-11,27.91282007,9.71234E-13
,Euk6,128938.3333,27972.66046,156910.9938,100965.6729,574.9616212,1.46817E-12,5058.563429,1.507E-11,30.05295298,3.46861E-14
,Euk9,5353.333333,1567.835557,6921.16889,3785.497776,153.301631,6.98423E-12,935.6654413,4.97323E-11,28.08544946,5.7834E-13
,Euk12,4981.666667,623.0235416,5604.690208,4358.643125,124.9673619,1.43273E-11,786.4626244,1.05194E-10,20.5266656,1.06369E-12
6/2/2022,Euk1,245.0170062,4671.666667,4916.683673,4426.64966,155.8611009,2.38308E-12,783.2761933,1.39721E-11,25.78700333,1.7821E-13
,Euk2,712.5716338,49758.33333,50470.90497,49045.7617,331.1864262,4.75421E-13,2888.165821,4.83699E-12,16.94114687,1.09921E-14
,Euk5,18983.33333,584.9002764,19568.23361,18398.43306,368.9009071,4.50505E-11,2217.129283,3.15884E-10,35.88189516,1.9806E-12
,Euk6,341996.6667,14186.76525,356183.4319,327809.9014,663.1941429,3.3391E-12,6994.975861,4.10886E-11,26.53392139,6.03838E-14
,Euk9,34315,505.2969424,34820.29694,33809.70306,439.8985412,6.21839E-11,2695.538111,4.44547E-10,34.82784198,2.22527E-12
,Euk12,22327.33333,5936.911767,28264.2451,16390.42157,325.788205,3.91964E-12,2236.734343,3.13959E-11,14.35868417,7.8083E-14
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
