Date of sampling,Tank,St. dev (cells/mL),Average (cells/mL),total N-filter (ug/L),mol N/cell,total C-filter (ug/L),mol C/ cell,total P-filter (ug/L),mol P / cell
5/19/2022,Pro3,2.886751346,1.666666667,46.60545065,2.00E-09,437.455142,2.19E-08,10.46041651,2.03E-10
,Pro7,,2213.333333,54.50572168,1.76E-12,547.0910822,2.06E-11,14.81687121,2.16E-13
,Pro11,361.6973873,380,60.43691807,1.14E-11,705.2359197,1.55E-10,15.73729721,1.34E-12
5/23/2022,Pro3,10.40833,173.3333333,67.89885256,2.80E-11,389.240198,1.87E-10,8.290439044,1.54E-12
,Pro4,270.0462923,1035,33.5811151,2.32E-12,270.6462415,2.18E-11,9.819693515,3.06E-13
,Pro7,88.92881048,1161.666667,66.16889126,4.07E-12,383.8979299,2.75E-11,20.34343592,5.65E-13
,Pro8,36.05551275,300,71.48309495,1.70E-11,357.2181285,9.92E-11,12.57290526,1.35E-12
,Pro10,102.1436896,226.6666667,57.17096036,1.80E-11,367.348647,1.35E-10,11.24189037,1.60E-12
,Pro11,374.3772607,9078.333333,58.68506096,4.62E-13,411.8296349,3.78E-12,26.80909718,9.53E-14
5/26/2022,Pro3,194.2506971,1756.666667,43.2440259,1.76E-12,275.422936,1.31E-11,15.41932654,2.83E-13
,Pro4,256.4338771,45731.66667,151.0022182,2.36E-13,768.561572,1.40E-12,52.99290065,3.74E-14
,Pro7,3086.697264,42225,279.006837,4.72E-13,1536.472909,3.03E-12,37.46848392,2.86E-14
,Pro8,252.3885893,3165,61.94834063,1.40E-12,392.4172033,1.03E-11,22.2254361,2.27E-13
,Pro10,352.0061552,1271.666667,42.45064983,2.38E-12,294.9447218,1.93E-11,13.32070588,3.38E-13
,Pro11,5843.488541,217441.6667,212.0653441,6.97E-14,1163.868296,4.46E-13,26.40627448,3.92E-15
5/30/2022,Pro3,1903.630304,6398.333333,205.5030062,2.29E-12,957.871604,1.25E-11,37.52149024,1.89E-13
,Pro4,70452.5025,364103.3333,687.9023636,1.35E-13,4534.184891,1.04E-12,39.65945316,3.52E-15
,Pro7,14700.97814,45303.33333,637.9381599,1.01E-12,5107.030634,9.39E-12,15.32174903,1.09E-14
,Pro8,44026.59433,83113.33333,384.3604987,3.30E-13,2150.775044,2.16E-12,32.65654028,1.27E-14
,Pro10,8903.263915,11861.66667,179.3685212,1.08E-12,897.3258065,6.30E-12,29.82820065,8.12E-14
,Pro11,7462.146697,14638.33333,172.7715637,8.43E-13,1192.411718,6.79E-12,13.89844357,3.07E-14
6/2/2022,Pro3,642.7739364,23566.66667,396.8960803,1.20E-12,2281.045517,8.07E-12,21.16925854,2.90E-14
,Pro4,47337.16097,205231.6667,347.8810753,1.21E-13,3115.006952,1.26E-12,18.12313982,2.85E-15
,Pro7,4598.535999,90766.66667,649.1581052,5.11E-13,5651.04927,5.19E-12,13.29681759,4.73E-15
,Pro8,9847.650735,143490,767.2043556,3.82E-13,5903.742302,3.43E-12,18.55680965,4.18E-15
,Pro10,3124.303922,92830,540.540413,4.16E-13,3300.472127,2.96E-12,16.72878556,5.82E-15
,Pro11,1782.086792,68418.33333,171.7771059,1.79E-13,1176.723895,1.43E-12,10.08047552,4.76E-15
